Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
GU,Manure applied to Soils,44,Colombia,723811,Manure applied to soils that volatilises (N content),1755,All Animals,2015,2015,kg,68158166.63,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,45,Comoros,72381,Manure applied to soils (N content),1755,All Animals,2015,2015,kg,163059.3889,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,45,Comoros,723812,Manure applied to soils that leaches (N content),1755,All Animals,2015,2015,kg,48917.8167,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,45,Comoros,723811,Manure applied to soils that volatilises (N content),1755,All Animals,2015,2015,kg,32611.8778,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,46,Congo,72381,Manure applied to soils (N content),1755,All Animals,2015,2015,kg,1928711.556,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,46,Congo,723812,Manure applied to soils that leaches (N content),1755,All Animals,2015,2015,kg,578613.4669,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,46,Congo,723811,Manure applied to soils that volatilises (N content),1755,All Animals,2015,2015,kg,385742.3112,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,47,Cook Islands,72381,Manure applied to soils (N content),1755,All Animals,2015,2015,kg,207255.2786,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,47,Cook Islands,723812,Manure applied to soils that leaches (N content),1755,All Animals,2015,2015,kg,62176.5836,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,47,Cook Islands,723811,Manure applied to soils that volatilises (N content),1755,All Animals,2015,2015,kg,41451.0557,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,48,Costa Rica,72381,Manure applied to soils (N content),1755,All Animals,2015,2015,kg,40114408.41,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,48,Costa Rica,723812,Manure applied to soils that leaches (N content),1755,All Animals,2015,2015,kg,12034322.52,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,48,Costa Rica,723811,Manure applied to soils that volatilises (N content),1755,All Animals,2015,2015,kg,8022881.682,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,107,Côte d'Ivoire,72381,Manure applied to soils (N content),1755,All Animals,2015,2015,kg,13360215.91,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,107,Côte d'Ivoire,723812,Manure applied to soils that leaches (N content),1755,All Animals,2015,2015,kg,4008064.772,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,107,Côte d'Ivoire,723811,Manure applied to soils that volatilises (N content),1755,All Animals,2015,2015,kg,2672043.181,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,98,Croatia,72381,Manure applied to soils (N content),1755,All Animals,2015,2015,kg,31567954.19,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,98,Croatia,723812,Manure applied to soils that leaches (N content),1755,All Animals,2015,2015,kg,9470386.257,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,98,Croatia,723811,Manure applied to soils that volatilises (N content),1755,All Animals,2015,2015,kg,6313590.838,A,"Aggregate, may include official, semi-official, estimated or calculated data"
